accession	human_gene_name	clade	subclade	zf_domains	other_domains	human_chr	branch_added	species	species_order	species_family	species_genus	chimpanzee	orangutan	macaque	baboon	marmoset	basal Primate	non-Primate	human gene status (transcript support, Gencode status, other notes)
NM_001161425	ZNF610			8	K	19.9	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	absent	absent	well validated
NM_030972	ZNF611			13	K	19.9	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present hand-assembled	absent inc TA	absent	absent	well validated
NM_001031721	ZNF613			11	K	19.9		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated
NM_025040	ZNF614			10	K	19.9		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_001199324	ZNF615			19	K	19.9		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_178523	ZNF616			21	K	19.9	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	absent	absent	well validated
NM_020787	ZNF624			20	K	17.2		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present hand-assembled	present	present	present	validated
NM_145233	ZNF625			8	cK	19.3	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	absent	absent	validated, some transcripts have KRAB
NM_001076675	ZNF626			10	K	19.4	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present hand-assembled	absent inc TA	absent	absent	well validated
NM_145295	ZNF627			10	K	19.3	Basal	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	absent	well validated
NM_001037735	ZNF630			11	K	X.3		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	prob present hand-assembled	absent	present	well validated
NM_152320	ZNF641			5	K	solo		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_023074	ZNF649			10	K	19.9	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	absent inc TA	absent	absent	well validated
NM_138494	ZNF655			6	cK	7.4		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated, KRAB domain not found in ZF containing transcripts but present ancestrally
NM_001317916	ZNF658			18	K	solo		Homo_sapiens	Primates	Hominidae	Homo								well validated
NM_001355197	ZNF66			13	K	19.4	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	absent inc TA and syntenic DNA tree	present	absent inc TA	absent inc TA	absent	absent	unvalidated, possible pseudogene but present ancestrally
NM_001353458	ZNF665			18	K	19.9	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	absent inc TA	absent	absent	validated
NM_022103	ZNF667			14	K	19.12		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_024833	ZNF671			9	K	19.12		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_001039891	ZNF674			11	K	X.1		Homo_sapiens	Primates	Hominidae	Homo	present	present hand-assembled	present	present	present	present	present	well validated
NM_138330	ZNF675			11	K	19.4	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present hand-assembled	present	absent	absent	well validated
NM_001001411	ZNF676			14	K	19.4	Hominoid/Hominid	Homo_sapiens	Primates	Hominidae	Homo	present	present had	absent inc TA	absent inc TA	absent inc TA	absent	absent	weakly validated
NM_001317998	ZNF677			10	K	19.9		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	absent inc TA	present	present	well validated
NM_153363	ZNF679			7	K	7.3	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	absent inc TA	absent	absent	validated
NG_055543	ZNF67P pseudogene			NA	K	19.4		Homo_sapiens	Primates	Hominidae	Homo								Gencode manual and RefSeq pseudogene
NM_178558	ZNF680			12	K	7.3	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	absent	absent	well validated
NM_138286	ZNF681			11	K	19.4	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	absent inc TA	absent	absent	validated
NM_033196	ZNF682			10	K	19.4	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	absent	absent	validated
NM_145271	ZNF688			2	K	16.2		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_138447	ZNF689			10	K	16.2		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_001321163	ZNF69			12	K	19.3	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present hand-assembled	absent inc TA	absent	absent	validated
NM_198535	ZNF699			14	K	19.2		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated
NM_001282795	ZNF7			14	K	8.3		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_144566	ZNF700	cladeI		17	K	19.3	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	absent inc TA	absent	absent	well validated
NM_001172655	ZNF701			7	K	19.9	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	absent inc TA	absent inc TA	absent	absent	well validated
NM_001004328	ZNF705A			3	K	solo		Homo_sapiens	Primates	Hominidae	Homo								well validated
NM_001039615	ZNF705D			3	K	solo		Homo_sapiens	Primates	Hominidae	Homo								validated
NM_001278713	ZNF705E			2	K	solo		Homo_sapiens	Primates	Hominidae	Homo								unvalidated but so similar to ZNF705A that unclear transcript mapping
NM_001164457	ZNF705G			2	K	solo		Homo_sapiens	Primates	Hominidae	Homo								partially validated
NM_173831	ZNF707			7	K	8.2		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	prob present	present	present	well validated
NM_021269	ZNF708			14	K	19.4	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present hand-assembled	present	present hand-assembled	present	absent	absent	validated
NM_152601	ZNF709			19	K	19.3		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated
NM_021216	ZNF71			13	K	19.12		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated, some transcripts have KRAB
NM_182633	ZNF713			5	K	solo		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated
NM_182515	ZNF714			12	K	19.4	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present	prob present	absent inc TA	absent inc TA	absent	absent	validated
NM_001159279	ZNF716			9	K	7.2	Hominoid/Hominid	Homo_sapiens	Primates	Hominidae	Homo	present	present	absent inc TA and syntenic DNA	absent inc TA	absent inc TA	absent	absent	validated
NM_001130913	ZNF720			11	K	16.4	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	absent	absent	partially validated, most transcripts don't have ZF in frame but present ancestrally
NM_001349726	ZNF723			12	K	19.4	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present	prob present hand-assembled	absent inc TA	absent inc TA	absent	absent	unvalidated
NM_001355404	ZNF724			14	K	19.4	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	absent	absent	partially validated
NG_011783	ZNF725P			9	K	19.4	Hominoid/Hominid	Homo_sapiens	Primates	Hominidae	Homo	present	present	absent inc TA and syntenic DNA	absent inc TA	absent	absent	absent	unvalidated, gene models have several introns in ZF exons, possible pseudogene but present ancestrally
NM_001244038	ZNF726			14	K	19.4	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present hand-assembled	present	present	present	absent inc TA	absent	absent	unvalidated but Gencode annotated gene
NM_001159522	ZNF727			10	K	7.3	Hominoid/Hominid	Homo_sapiens	Primates	Hominidae	Homo	present	present	absent inc TA and syntenic DNA	prob absent TA done	absent TA done	absent	absent	weakly supported by EST but Gencode annotates as pseudogene, present ancestrally
NM_001267716	ZNF728			14	K	19.4	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present	present hand-assembled	absent inc TA	absent inc TA	absent	absent	weakly validated
NM_001242680	ZNF729			34	K	19.4		Homo_sapiens	Primates	Hominidae	Homo								very weakly validated, possible pseudogene
NM_001277403	ZNF730			10	K	19.4	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present hand-assembled	present	present hand-assembled	absent inc TA	absent inc TA	absent	absent	validated
NG_009437	ZNF734P			11	K	7.3		Homo_sapiens	Primates	Hominidae	Homo								validated
NM_001159524	ZNF735			6	K	7.3	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present hand-assembled	present	present	absent inc TA	absent inc TA	absent	absent	Gencode manual pseudogene, RefSeq gives tentative gene but no transcript or EST support, present ancestrally
NM_001170905	ZNF736			9	K	7.3	Simian	Homo_sapiens	Primates	Hominidae	Homo	present hand-assembled	present	present	present	present	absent	absent	validated
NM_001159293	ZNF737			13	K	19.4	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present hand-assembled	present	absent inc TA	absent inc TA	absent	absent	validated
NM_001355237	ZNF738			5	K	19.4	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	absent inc TA and syntenic DNA tree	present	present	present	absent	absent	unvalidated, possible pseudogene but present ancestrally
NM_003426	ZNF74			12	K	solo		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_001163474	ZNF746			3	K	7.6		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_001305018	ZNF747			4	K	16.2	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	absent	absent	validated, canonical gene model has stop before all ZF domains but present ancestrally
NM_001023561	ZNF749			13	K	19.12	Simian	Homo_sapiens	Primates	Hominidae	Homo	present hand-assembled	present	present	present	prob present	absent	absent	validated
NM_001302109	ZNF75A			5	cSK	16.1		Homo_sapiens	Primates	Hominidae	Homo								validated
NM_001008401	ZNF761			17	K	19.1	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	absent inc TA	absent	absent	validated
NM_001367172	ZNF763			6	K	19.3	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	absent inc TA and syntenic DNA	absent inc TA	prob present	absent	absent	well validated
NM_033410	ZNF764			7	K	16.2		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_001040185	ZNF765			8	K	19.1	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present	prob present	unclear inc TA	absent inc TA	absent	absent	validated
NM_001010851	ZNF766			7	K	19.9	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	absent	absent	well validated
NM_021217	ZNF77			12	K	19.1	Basal	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	prob absent	well validated
NM_001024596	ZNF772			10	K	19.12		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated
NM_198542	ZNF773			9	K	19.12		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated
NM_173632	ZNF776			9	K	19.12	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	absent	absent	well validated
NM_015694	ZNF777			9	K	7.6		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_001201407	ZNF778			13	K	solo	Basal	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	prob present	absent	validated
NM_001142577	ZNF780A			17	K	19.7	Simian	Homo_sapiens	Primates	Hominidae	Homo	present hand-assembled	present	present	present	present	absent	absent	validated
NM_001005851	ZNF780B			21	K	19.7	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	prob present hand-assembled	present	present	present	absent	absent	validated
NM_152605	ZNF781			3	cK	19.6	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	absent inc TA	absent	absent	validated, genomic KRAB found in a few transcripts but not found in any gene models
NM_001001662	ZNF782			11	K	9.1		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated
NM_001195220	ZNF783			4	K	7.6		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	weakly validated, confusing, but present ancestrally
NM_152458	ZNF785			7	K	16.2		Homo_sapiens	Primates	Hominidae	Homo	present	present	absent inc TA and syntenic DNA	absent inc TA	present	present	present	well validated
NM_152411	ZNF786			13	K	7.6		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_001348163	ZNF788			14	cK	19.3	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	absent	absent	structure unclear, ZF probably out of frame with genomic KRAB
NM_213603	ZNF789			8	K	7.4		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_007135	ZNF79			11	K	solo		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_206894	ZNF790			12	K	19.6		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_153358	ZNF791			17	K	19.3		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_175872	ZNF792			12	K	19.5		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated
NM_001013659	ZNF793			6	K	19.6		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated
NM_001080821	ZNF799			15	K	19.3	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	absent	absent	validated, second ZF exon potentially alternatively spliced
NM_021089	ZNF8			7	K	19.12		Homo_sapiens	Primates	Hominidae	Homo	present	present	present hand-assembled	present	present	present	present	well validated
NM_001023563	ZNF805			13	K	19.12	Basal	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	absent	weak validation, KRAB in genome not in gene models other than LLNL
NM_001039886	ZNF808			23	K	19.9	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present hand-assembled	absent inc TA	absent	absent	validated
NM_007137	ZNF81			12	K	X.3		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated
NM_001004301	ZNF813			13	K	19.1	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present	present hand-assembled	present hand-assembled	absent inc TA	absent	absent	validated
NM_001144989	ZNF814			21	K	19.12	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	absent inc TA and syntenic DNA	present	present	absent	absent	partially validated
NM_001031665	ZNF816A			14	K	19.9	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present hand-assembled	prob absent inc TA	absent	absent	well validated
NM_001080493	ZNF823			15	K	19.3	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present hand-assembled	present	absent	absent	well validated
NR_036455	ZNF826P			10	cK	19.4	Hominoid/Hominid	Homo_sapiens	Primates	Hominidae	Homo	absent inc TA and syntenic DNA	present	absent inc TA and syntenic DNA	absent inc TA	absent	absent	absent	partially validated, genomic KRAB may be in frame in some transcripts
NM_001171979	ZNF829			9	K	19.6		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated
NM_001105549	ZNF83			14	cK	19.9		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present hand-assembled	absent inc TA	present	present	validated, in-frame genomic KRAB found in many transcripts but no gene models
NR_028594	ZNF833P			6	cK	19.3	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present	absent inc TA and syntenic DNA	present	absent inc TA	absent	absent	validated, genomic KRAB may be present in some transcripts
NM_001102657	ZNF836			24	K	19.9	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	present hand-assembled	present	present	absent	absent	validated
NM_003428	ZNF84			19	K	12.1		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_001136499	ZNF841			20	K	19.9	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	absent	absent	validated
NM_001136501	ZNF844	cladeI		6	K	19.3	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	absent inc TA	absent	absent	well validated
NM_138374	ZNF845			26	K	19.1	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present hand-assembled	absent inc TA	absent	absent	validated
NM_001077624	ZNF846			11	K	19.2		Homo_sapiens	Primates	Hominidae	Homo	present	present	present hand-assembled	present	present	present	present	validated
NM_003429	ZNF85			15	K	19.4	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	absent inc TA	absent	absent	well validated
NM_001099220	ZNF862 no canonical ZF			NA	KK	7.6		Homo_sapiens	Primates	Hominidae	Homo								unclear validation, does not have canonical C2H2 ZFs despite name
NM_007138	ZNF90			15	K	19.4	Hominoid/Hominid	Homo_sapiens	Primates	Hominidae	Homo	present	present	absent inc TA and syntenic DNA	absent inc TA	absent	absent	absent	partially validated
NM_003430	ZNF91			31	K	19.4	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present hand-assembled	present	present	absent inc TA	absent	absent	well validated
NM_007139	ZNF92			11	K	7.3	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present hand-assembled	present	absent	absent	well validated
NM_031218	ZNF93			16	K	19.4	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	absent inc TA	absent	absent	well validated
NM_001098626	ZNF98			13	K	19.4		Homo_sapiens	Primates	Hominidae	Homo								validated
NM_001080409	ZNF99			21	K	19.4		Homo_sapiens	Primates	Hominidae	Homo								unvalidated, gene models have several introns in ZF exons, possible pseudogene
NM_030613	ZFP2			13	K	5.2		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated, upstream KRAB out of frame in some transcripts
NM_152283	ZFP62			20	none	solo		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated
NM_003431	ZNF124			9	K	1.2	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	absent	absent	validated
NM_003441	ZNF141			10	K	4.1	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present hand-assembled	present	absent	absent	well validated
NM_001318891	ZNF184			19	K	6.1		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_021088	ZNF2			8	K	2.1		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_001172831	ZNF300			12	K	5.1		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_001242797	ZNF322A			8	none	solo		Homo_sapiens	Primates	Hominidae	Homo								well validated
NM_003420	ZNF35			11	none	3.2		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_005649	ZNF354A			13	K	5.2		Homo_sapiens	Primates	Hominidae	Homo								well validated
NM_058230	ZNF354B			13	K	5.2		Homo_sapiens	Primates	Hominidae	Homo								well validated
NM_014594	ZNF354C			11	K	5.2		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_001322288	ZNF391			9	none	6.1		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_001077195	ZNF436			12	K	solo		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_001178089	ZNF454			12	K	5.2		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_145044	ZNF501			9	none	3.2		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_033210	ZNF502			14	none	3.2		Homo_sapiens	Primates	Hominidae	Homo	present	present hand-assembled	present	present	present	present	present	well validated
NM_001318005	ZNF514			7	K	2.1		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_016089	ZNF589			4	K	solo	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	absent	absent	validated
NM_182524	ZNF595			14	K	4.1	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	absent	absent	well validated
NM_001145082	ZNF619			10	K	3.1		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated
NM_175888	ZNF620			8	K	3.1		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_198484	ZNF621			7	K	3.1		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_001320178	ZNF642			9	K	1.1		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_001009992	ZNF648			9	none	solo		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated
NM_173658	ZNF660			10	none	3.2		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated, no KRAB in genome
NM_207404	ZNF662			8	K	solo		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated
NM_024804	ZNF669			9	K	1.2	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present hand-assembled	present	present hand-assembled	present	absent	absent	well validated
NM_033213	ZNF670	cladeI		8	K	1.2	Basal	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	absent	well validated
NM_024836	ZNF672			12	none	solo		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated
NM_178549	ZNF678			14	K	solo	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	absent inc TA	absent	absent	validated
NM_152373	ZNF684			8	K	solo		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_001242739	ZNF691			7	none	solo		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_020394	ZNF695			9	K	1.2	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present hand-assembled	absent inc TA	absent	absent	validated
NM_001080470	ZNF697			11	none	solo		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	partially validated
NM_001128223	ZNF717			18	K	solo	Hominoid/Hominid	Homo_sapiens	Primates	Hominidae	Homo	present hand-assembled	present	absent inc TA and syntenic DNA	absent inc TA	absent inc TA	absent	absent	partially validated
NM_001039127	ZNF718			10	K	4.1	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	present hand-assembled	prob present	present	absent	absent	some validation, probable alternative ZF exon for upstream ZNF595 exons
NM_133474	ZNF721			23	K	4.1	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present hand-assembled	absent inc TA	absent	absent	well validated
NM_007136	ZNF80			5	cK	solo		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present hand-assembled	present	present	present	validated, upstream KRAB not in gene model but present ancestrally
NM_001304449	ZNF806 pseudogene			NA	K			Homo_sapiens	Primates	Hominidae	Homo								Gencode manual annotation pseudogene
NM_001287349	ZNF852			12	K	3.2		Homo_sapiens	Primates	Hominidae	Homo								validated, named ZNF852 by GENCODE
NM_001137674	ZNF860			12	K	solo	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	absent inc TA	present	present hand-assembled	prob absent inc TA	absent	absent	validated
NM_199189	MATR3							Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_006210	PEG3							Homo_sapiens	Primates	Hominidae	Homo								
NM_001310214	PRDM9							Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_014569	ZFP95							Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_015363	ZIM2							Homo_sapiens	Primates	Hominidae	Homo								validated
NM_003439	ZKSCAN1							Homo_sapiens	Primates	Hominidae	Homo								
NM_003447	ZNF165							Homo_sapiens	Primates	Hominidae	Homo								
NM_018651	ZNF167							Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated
NM_003450	ZNF174							Homo_sapiens	Primates	Hominidae	Homo								
NM_144680	ZNF18							Homo_sapiens	Primates	Hominidae	Homo								
NM_001278119	ZNF192							Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_001199479	ZNF193							Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated
NM_006991	ZNF197							Homo_sapiens	Primates	Hominidae	Homo								
NM_003455	ZNF202							Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_032805	ZNF206							Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated
NM_004220	ZNF213							Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated, no KRAB in genome, SCAN only
NM_013250	ZNF215							Homo_sapiens	Primates	Hominidae	Homo								
NM_014519	ZNF232							Homo_sapiens	Primates	Hominidae	Homo								
NM_006965	ZNF24							Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated but ZF in two exons, second ZF exon tracked for orthology
NM_005741	ZNF263							Homo_sapiens	Primates	Hominidae	Homo								
NM_021148	ZNF273							Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	alternative splice form of ZIM2, distinct ZF exon
NM_016325	ZNF274							Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated
NM_003575	ZNF282							Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_001346167	ZNF287							Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_001098402	ZNF295							Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_001163391	ZNF305							Homo_sapiens	Primates	Hominidae	Homo								
NM_001242894	ZNF306							Homo_sapiens	Primates	Hominidae	Homo								
NM_019110	ZNF307							Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated
NM_001377376   	ZNF31							Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated
NM_030899	ZNF323							Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_182976	ZNF326							Homo_sapiens	Primates	Hominidae	Homo								well validated
NM_001362779	ZNF38							Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_032164	ZNF394							Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_001322286	ZNF396							Homo_sapiens	Primates	Hominidae	Homo								
NM_001135178	ZNF397							Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_003422	ZNF42							Homo_sapiens	Primates	Hominidae	Homo								
NM_001284527	ZNF434							Homo_sapiens	Primates	Hominidae	Homo								
NM_025231	ZNF435							Homo_sapiens	Primates	Hominidae	Homo								
NM_018337	ZNF444							Homo_sapiens	Primates	Hominidae	Homo								
NM_181489	ZNF445							Homo_sapiens	Primates	Hominidae	Homo								
NM_017908	ZNF446							Homo_sapiens	Primates	Hominidae	Homo								
NM_001145542	ZNF447							Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_152695	ZNF449							Homo_sapiens	Primates	Hominidae	Homo								
NM_021224	ZNF462							Homo_sapiens	Primates	Hominidae	Homo								
NM_133464	ZNF483							Homo_sapiens	Primates	Hominidae	Homo								
NM_032752	ZNF496							Homo_sapiens	Primates	Hominidae	Homo								
NM_198458	ZNF497							Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_145115	ZNF498							Homo_sapiens	Primates	Hominidae	Homo								well validated
NM_001316978	ZNF499							Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated, SCAN only
NM_021646	ZNF500							Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_152457	ZNF597							Homo_sapiens	Primates	Hominidae	Homo								Involved in alternative mRNA splicing with RNA polymerase II transcript elongation
NM_133374	ZNF618							Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
